serial_no,race,education,income,gender,age
0008880,47,00,,2,00
0008886,47,08,000000,2,82
0008899,47,13,007000,1,24
0008989,47,05,000000,1,47
0008989,47,09,000000,2,42
0008989,47,11,015500,2,20
0008989,47,03,,1,13
0009008,47,11,046200,1,40
0009008,47,10,012000,2,38
0009008,47,04,000000,2,15
0009008,47,04,,1,13
0009008,47,03,,1,11
0009008,47,02,,1,09
0009008,47,02,,2,06
0009030,37,11,007000,2,26
0009030,37,01,,2,03
0009052,01,09,013000,2,25
0009052,01,02,,2,06
0009052,01,00,,1,02
0009098,47,16,100000,1,51
0009098,47,14,040000,2,45
0009098,47,06,000600,1,17
0009098,47,04,000000,2,15
0009124,47,05,000000,1,75
0009150,47,10,031100,2,53
0009150,47,10,016400,1,24
0009250,47,10,000000,1,78
0009302,68,11,015000,2,35
0009302,47,06,000000,2,16
0009302,47,02,,1,07
0009302,47,01,,1,04
0009302,47,13,000000,1,40
0009390,47,13,098000,1,28
0009390,47,13,072000,2,27
0009415,01,05,000000,2,22
0009415,01,00,,2,02
0009415,01,00,,1,01
0009441,47,09,000000,2,69
0009457,47,14,089000,1,53
0009457,47,09,052000,2,38
0009668,47,09,015000,2,41
0009668,47,09,040000,1,42
0009668,47,04,,2,13
0009668,47,04,,2,11
0009668,47,03,,1,10
0009692,47,09,059000,1,54
0009692,47,09,034300,2,49
0009721,47,14,065000,1,58
0009721,47,13,003400,2,56
0009801,37,08,025900,2,37
0009801,37,02,,1,08
0009805,47,14,056000,2,59
0009822,47,14,080000,1,58
0009822,47,11,035400,2,57
0009863,47,11,000000,2,80
0009863,47,11,000000,1,44
0009907,47,09,035000,1,53
0009907,47,09,045000,2,53
0009907,47,09,016000,1,22
0009907,47,03,,2,11
0010071,47,11,040800,2,52
0010206,47,09,032000,2,41
0010206,47,03,,1,13
0010206,47,02,,1,09
0010245,47,13,036700,1,38
0010245,47,13,003700,2,30
0010245,47,00,,1,01
0010278,47,13,000000,1,74
0010278,47,12,000000,2,73
0010398,47,04,000000,2,78
0010609,47,13,031200,1,25
0010609,47,10,035000,2,24
0010640,47,07,005000,1,83
0010640,47,09,000000,2,81
0010890,47,13,000000,2,30
0010890,47,15,342000,1,34
0010890,47,00,,2,00
0010893,01,11,017800,1,25
0010893,01,09,016400,2,23
0010893,01,00,,2,01
0010900,47,04,000000,2,44
0011032,47,12,050000,1,33
0011096,47,10,040000,2,27
0011096,68,02,,2,06
0011173,47,09,028700,2,68
0011224,47,01,005000,1,52
0011224,47,04,024000,2,49
0011311,47,09,012200,1,33
0011311,47,09,035000,2,34
0011311,47,00,,2,00
0011331,47,09,060000,1,39
0011331,47,09,049000,2,53
0011586,47,11,002000,1,21
0011712,47,09,000000,2,49
0011712,47,10,039000,2,49
0011779,47,13,000000,2,89
0011912,47,12,062000,1,37
0011912,47,12,030000,2,38
0011912,47,02,,1,08
0011912,47,02,,1,05
0011936,47,14,028500,2,39
0011936,47,12,050000,1,40
0011936,47,03,,1,12
0011936,47,02,,2,10
0011936,47,02,,1,10
0011998,47,08,000000,1,64
0011998,47,13,008500,2,56
0011998,47,12,052000,2,43
0012065,12,13,060000,1,28
0012200,47,15,000000,1,46
0012200,47,12,037000,2,42
0012200,47,04,,2,14
0012200,47,03,,2,12
0012218,47,14,000000,1,71
0012218,47,11,089000,2,68
0012230,47,09,013000,1,79
0012230,47,09,014700,2,77
0012270,47,04,000000,2,85
0012276,47,08,030000,1,59
0012276,47,08,000000,2,56
0012276,47,13,000000,2,32
0012276,47,00,,1,01
0012370,47,09,000000,2,72
0012552,37,09,027000,2,39
0012552,37,01,,1,08
0012552,37,01,,2,06
0012635,01,11,054000,1,38
