serial_no,race,education,income,gender,age
0009822,47,09,011000,2,40
0009822,47,12,018000,2,21
0009822,47,07,008600,2,17
0009822,47,04,000000,1,15
0009822,47,03,,1,11
0009822,47,02,,1,08
0009830,47,09,000000,2,69
0009845,47,05,000000,2,79
0009845,47,09,000000,1,45
0009878,47,06,038000,1,27
0009878,47,09,001700,2,18
0009878,47,00,,1,01
0009907,47,10,000000,1,84
0009907,47,09,000000,2,73
0009922,47,13,031000,2,24
0009922,47,12,042000,1,25
0010071,47,12,025000,2,41
0010071,01,09,019000,1,48
0010071,47,04,,1,13
0010241,47,09,000000,1,54
0010241,47,11,023500,2,55
0010245,47,13,045800,1,53
0010245,47,09,021300,2,53
0010245,47,07,001900,2,19
0010258,47,04,000000,1,88
0010277,47,11,056000,1,30
0010277,47,12,030000,2,29
0010278,47,06,030000,1,35
0010278,48,02,,2,06
0010278,48,01,,1,05
0010340,47,11,030000,1,33
0010340,47,11,012000,2,32
0010340,47,00,,2,02
0010398,47,09,036000,1,50
0010398,47,09,029000,2,49
0010440,47,13,000000,1,49
0010440,47,14,048000,2,48
0010440,47,09,002000,2,21
0010440,47,07,000000,1,18
0010465,47,13,050000,1,34
0010465,47,12,021500,2,34
0010465,47,01,,2,03
0010465,47,00,,1,01
0010547,47,10,005000,1,29
0010609,47,13,063000,1,38
0010609,47,13,038500,2,35
0010609,47,06,005400,2,17
0010609,47,04,,2,14
0010609,47,02,,1,10
0010640,47,13,000000,1,79
0010640,47,13,000000,2,78
0010856,47,11,051000,1,30
0010856,47,11,005000,2,29
0010856,47,00,,1,01
0010890,47,13,000000,1,38
0010890,47,13,040000,2,37
0010890,47,02,,1,06
0010893,47,10,032000,1,45
0010893,47,13,035000,2,35
0010893,47,02,,1,06
0010893,47,01,,1,03
0010900,47,04,000000,2,80
0011032,47,09,005000,2,32
0011032,47,03,,2,13
0011032,47,02,,2,10
0011032,47,02,,1,06
0011033,47,09,000000,1,58
0011033,47,09,010000,2,57
0011081,47,09,023000,2,80
0011096,47,10,021800,1,34
0011096,47,13,031600,2,29
0011216,47,11,007000,1,68
0011216,47,09,000000,2,68
0011224,47,15,000000,1,36
0011224,47,09,021200,2,32
0011224,47,00,,1,01
0011311,47,12,000000,1,47
0011311,47,11,000000,2,45
0011331,47,14,020600,1,67
