serial_no,race,education,income,gender,age
0020032,47,14,000000,2,55
0020071,47,10,026100,1,48
0020071,47,09,031600,2,45
0020071,47,06,000000,1,20
0020114,47,13,039000,1,32
0020114,47,13,045000,2,31
0020115,47,11,000000,1,64
0020121,12,11,035000,1,44
0020161,47,13,038000,2,31
0020161,47,02,,1,03
0020555,47,11,000000,1,66
0020602,47,14,069000,1,48
0020602,47,13,043000,2,46
0020602,47,06,000390,2,17
0020602,47,04,,2,14
0020746,47,13,042000,2,36
0020746,47,02,,2,09
0020746,47,02,,1,06
0020961,47,10,027000,2,54
0020974,47,09,000000,2,49
0020974,47,06,060000,2,62
0021000,47,11,000000,2,50
0021000,32,12,012000,1,49
0021070,37,11,026000,2,29
0021070,37,06,000000,1,17
0021107,25,09,038000,1,41
0021107,47,11,025000,2,30
0021107,71,02,,1,06
0021107,47,02,,1,10
0021107,47,02,,2,09
0021123,37,08,022000,1,40
0021123,37,03,,1,11
0021123,37,02,,2,09
0021123,37,02,,1,07
0021123,37,10,018000,2,37
0021273,47,08,008000,1,66
0021273,47,09,057000,1,47
0021321,47,11,037000,2,33
0021321,47,01,,1,03
0021321,47,08,036000,1,26
0021594,37,10,000000,1,80
0021594,12,10,000000,2,52
0021840,47,13,050000,1,34
0021840,47,12,055000,2,46
0021840,47,10,012500,1,23
0021851,47,09,000000,1,69
0021851,47,09,000000,2,68
0022103,47,09,027000,1,56
0022103,47,09,010000,2,58
0022766,47,09,037000,1,35
0022766,47,09,023000,2,27
0022935,47,15,050000,2,46
0023227,47,09,000000,2,71
0023691,32,12,000000,1,62
0023712,48,08,060000,1,40
0023712,01,03,,1,12
0023712,01,03,,2,11
0023712,01,02,,1,08
0023728,47,09,050000,1,36
0023728,47,09,025000,2,34
0023728,47,04,,2,13
0023728,47,02,,2,09
0023735,47,12,027000,2,36
0023735,47,04,,1,14
0023735,47,04,,1,13
0023735,47,09,007500,1,19
0023822,15,09,038000,1,51
0023822,15,11,021000,2,51
0023887,66,09,000000,1,32
0024295,47,09,040000,1,37
0024295,47,09,007000,2,40
0024295,47,03,,2,12
0024295,47,05,002000,1,16
0024295,47,03,,2,13
0024368,37,12,076000,1,50
0024368,37,13,036000,2,47
0024368,37,09,011000,2,22
0024368,37,02,,1,11
0024368,37,01,,2,04
0024368,37,01,,2,03
0024380,47,10,037000,1,44
0024380,47,06,025000,2,45
0024380,47,04,,2,14
0024500,47,09,000000,1,52
0025009,47,14,038000,2,42
0025009,47,01,,1,07
0025146,47,11,004500,1,38
0025146,47,13,080000,2,38
0025146,47,02,,2,04
0025146,47,00,,1,00
0025185,47,09,036000,1,27
0025185,47,11,013000,2,36
0025185,47,03,,1,11
0025185,47,09,020000,1,29
0025225,47,09,010900,2,22
0025225,47,11,015600,1,27
0025278,47,10,010000,1,19
0025405,32,07,000000,2,38
0025416,47,12,022000,1,40
0025465,47,10,000000,1,68
0025465,47,11,022000,1,24
0025601,47,10,322000,1,52
0025601,47,13,015000,2,52
0025711,47,11,027400,2,48
0025711,47,04,,1,14
0025711,47,02,,2,10
0025814,47,09,025000,2,61
0025814,47,11,030000,2,65
0025962,01,04,034000,1,39
0025962,01,05,001800,2,17
0026183,47,11,030000,1,51
0026183,47,11,007000,2,48
0026324,47,09,000000,1,34
0026324,47,03,,2,09
0026324,47,02,,2,05
0026324,47,00,,2,02
0026324,47,08,019000,2,61
0026483,47,11,012000,1,48
0026622,47,13,102000,1,44
0026622,47,13,061000,2,42
0026719,44,11,018000,1,22
0026719,47,11,000000,1,21
0026719,20,11,010000,1,21
0026777,47,09,000000,1,74
0026826,47,11,002300,2,56
0026826,47,09,006500,2,19
0026916,47,11,024600,2,49
0026916,47,12,024000,1,60
0027265,47,14,053000,1,50
0027265,47,13,000000,2,84
0027458,47,12,029000,1,44
0027458,47,10,030000,1,29
0027528,47,09,034000,1,36
0027528,47,01,,1,03
0027528,47,00,,2,01
0027528,47,00,,2,01
0027528,47,10,000900,2,33
0027528,47,03,,1,12
0027615,47,09,080000,1,34
0027615,47,12,080000,2,34
0027822,47,11,000000,1,59
0027851,47,12,050000,1,41
0027851,47,12,040000,2,29
0027851,47,02,,1,07
0027851,47,02,,2,05
0027949,47,13,060000,1,35
0027949,47,05,000000,2,28
0027949,48,04,,1,12
0027949,48,00,,1,02
0028321,47,09,048000,1,32
0028321,47,09,003000,2,29
0028509,47,11,000500,2,61
0028509,47,11,017000,1,34
0028509,47,02,,1,08
0029069,47,09,002100,2,51
0029069,47,11,016500,1,27
0029077,47,10,041300,1,43
0029077,47,09,045000,2,47
0029219,47,11,000000,1,35
0029219,47,09,000000,2,35
0029219,47,02,,1,10
0029219,47,02,,2,09
0029219,47,02,,2,05
0029219,47,00,,2,01
0029226,01,01,004700,1,31
0029226,01,03,004500,2,35
0029226,01,03,,1,11
0029226,01,01,,1,06
0029226,01,02,,1,05
0029226,01,01,,1,03
0029243,47,11,018000,1,52
0029299,47,05,020000,1,55
0029299,47,07,000000,2,47
0029366,47,11,000000,1,70
0029383,47,08,025000,1,39
0029383,47,09,025000,2,36
0029383,47,05,000000,1,16
0029383,47,03,,1,12
0029504,47,10,040000,2,32
0029504,32,11,024000,1,25
0029732,47,10,000000,1,72
0029934,37,13,006000,2,32
0029934,37,11,000000,1,35
0029934,37,12,000000,1,27
0030106,47,10,045000,1,34
0030106,47,11,043000,2,30
0030106,47,00,,2,02
0030138,37,09,027000,2,27
0030138,37,02,,1,09
0030138,37,01,,2,05
0030241,47,11,038500,1,41
0030241,47,13,038300,1,50
0030290,47,09,011000,1,52
0030290,47,10,006400,1,20
0030290,47,10,002600,2,18
0030290,47,10,035000,2,38
0030451,47,13,038500,2,43
0030451,47,12,018300,1,43
0030451,47,09,024600,1,20
0030451,47,05,000400,2,16
0030582,47,11,055000,1,39
0030582,47,13,044900,2,39
0030610,47,13,000890,1,65
0030610,47,13,000960,2,70
0031150,47,11,065000,1,48
0031150,47,11,011000,2,44
0031150,47,06,000860,2,17
0031284,47,12,028000,1,44
0031284,57,11,028000,2,43
0031284,47,02,,1,07
0031477,47,09,027100,1,46
0031502,47,13,029100,1,74
0031529,01,12,041700,1,31
0031529,32,01,,2,06
0031529,01,01,,2,03
0031529,01,00,,1,00
0031529,01,07,000000,2,31
0032194,47,11,015900,2,19
0032194,47,11,010800,2,19
0032278,47,04,030000,1,36
0032278,47,11,021000,2,36
0032278,47,02,,1,08
0032278,47,01,,1,04
0032348,47,13,065000,1,54
0032348,47,11,010200,2,35
0032366,47,11,080000,2,51
0032366,47,10,048000,1,58
0032500,47,10,010000,2,66
0032500,47,09,027000,2,35
0032943,47,11,023000,1,48
0032943,47,09,000000,2,56
0033079,47,12,052000,1,45
0033079,47,09,000000,2,42
0033079,47,09,020000,1,20
0033079,47,02,,2,03
0033079,47,10,006800,2,22
0033217,47,11,029000,1,32
0033217,47,01,,1,06
0033238,47,09,009000,2,43
0033238,47,04,000000,2,15
0033238,01,06,004000,1,19
0033563,01,05,032000,1,51
0033563,01,06,002000,2,55
0033563,01,08,010600,2,20
0033563,01,05,009000,2,30
0033563,01,02,,2,07
0033569,32,05,000000,1,48
0033569,32,09,000000,2,48
0033569,32,04,000000,1,16
0033569,32,04,,1,14
0033569,32,03,,1,12
0033569,32,02,,2,10
0033718,47,09,039600,1,62
0033718,47,09,021300,2,61
0034042,47,13,044000,1,24
0034315,48,03,000000,1,54
0034446,47,09,000000,2,76
0034789,47,15,070000,1,45
0034789,47,02,,2,07
0034860,47,13,020000,2,38
0034860,47,12,030000,1,36
0034860,47,02,,2,10
0034860,47,02,,1,09
0034899,12,03,000000,2,69
0034899,57,09,022000,1,37
0034934,47,11,000000,1,66
0034934,47,09,001300,2,65
0035006,37,11,005000,1,47
0035006,37,12,013000,2,56
0035053,47,09,000000,1,68
0035080,47,09,055000,1,37
0035080,47,13,090000,2,34
0035192,37,09,000000,2,33
0035192,37,09,060000,1,34
0035192,37,00,,2,02
0035236,47,14,024300,1,45
0035236,47,09,021800,2,40
0035236,47,05,000000,1,15
0035236,47,03,,1,10
0035236,47,02,,2,05
0035236,47,07,000000,1,16
0035236,47,04,,2,14
0035315,12,13,000000,2,71
0035361,01,09,055000,1,38
0035361,01,09,000000,2,39
0035361,01,03,,2,10
0035361,01,02,,1,04
0035423,47,09,000000,1,64
0035423,47,09,013400,2,56
0035790,47,11,002700,1,19
0035790,47,11,005600,1,21
0035790,47,11,006400,1,21
0036233,47,11,020000,2,23
0036269,47,11,063000,1,32
0036269,47,12,026900,2,37
0036269,47,02,,2,07
0036269,47,02,,1,06
0036269,47,02,,2,05
0036269,47,01,,1,03
0036269,47,00,,1,02
0036271,47,13,018000,1,26
0036424,47,13,095000,1,61
0036424,47,11,000000,2,57
0036455,47,11,068000,1,38
0037250,47,09,000000,2,67
0037267,47,09,050000,1,34
0037267,47,12,000000,2,30
0037267,47,02,,2,08
0037267,47,01,,1,05
0037313,47,11,011000,1,42
0037313,47,09,016000,1,34
0037342,47,13,049000,1,28
0037342,47,13,029000,2,28
0037479,47,11,021600,1,32
0037479,47,12,036000,2,26
0037479,47,02,,1,09
0037723,47,09,000000,1,75
0038031,32,13,076000,1,51
0038031,47,11,022000,2,34
0038031,47,10,016800,2,57
0038031,47,04,000000,1,70
0038150,01,09,023000,1,40
0038150,01,05,000000,2,24
0038150,01,00,,1,02
0038150,01,00,,2,00
0038150,01,05,,2,14
0038163,47,09,022000,1,64
0038163,47,09,008000,2,63
0038180,47,13,000000,2,63
0038213,47,09,012000,1,66
0038213,47,09,004000,2,43
0038213,47,07,001700,1,18
0038213,47,05,000000,2,15
0038288,47,05,020800,1,28
0038288,47,04,000000,2,30
0038288,47,03,010000,1,26
0038416,47,09,000000,1,81
0038416,47,09,000000,2,76
0038528,47,10,036000,1,50
0038528,15,06,006000,2,52
0038528,59,03,,1,13
0038528,59,12,000000,1,22
0038567,01,09,000000,1,55
0038567,01,11,032000,2,49
0038585,37,07,012000,2,34
0038585,37,04,,1,14
0038585,37,04,,2,12
0038585,37,03,,1,09
0038729,47,10,006700,1,24
0038833,47,09,015000,1,44
0038896,47,09,000000,2,82
0039033,47,10,080000,1,59
0039033,47,10,000000,2,53
0039033,47,09,020000,1,30
0039048,47,10,000000,2,57
0039048,47,10,017100,2,28
0039048,47,02,,1,07
0039048,47,02,,1,06
0039205,47,06,003000,1,22
0039221,37,12,035000,1,36
0039221,37,11,014400,2,33
0039221,37,02,,1,05
0039221,37,00,,1,00
0039543,47,09,000000,1,70
0039543,47,09,000000,2,55
0039896,68,10,001200,2,27
0039896,69,01,,2,06
0039935,47,09,020800,1,47
0039935,47,09,022500,2,51
0039935,47,09,000000,2,73
0039997,47,09,050000,1,52
0039997,47,09,020000,2,39
0040031,47,13,145000,1,68
0040031,47,13,045000,2,59
0040213,47,10,000000,1,75
0040213,47,11,000000,2,70
0040421,47,06,012000,2,36
0040421,47,06,000000,1,15
0040421,47,04,,1,14
0040421,47,09,022800,1,37
0040480,47,14,009500,1,35
0040732,47,11,051000,1,31
0040732,48,09,000000,2,28
0040732,48,01,,1,04
0040732,48,01,,2,03
0040732,48,02,,2,10
0040732,48,02,,1,08
0040818,37,09,013000,1,32
0040818,47,09,009000,2,28
0040896,47,14,000000,1,73
0040896,47,11,000000,2,54
0040912,47,13,090000,1,67
0040912,48,11,000000,1,38
0040912,01,13,028000,1,36
0041130,47,14,048900,2,56
0041167,47,08,000000,1,40
0041167,47,10,000000,2,40
0041167,47,03,,2,12
0041167,47,02,,2,10
0041258,47,05,000000,1,83
0041258,47,09,000000,2,77
0041462,47,09,054000,1,38
0041462,47,12,044200,2,45
0041462,47,02,,2,09
0041727,47,15,088000,2,35
0041727,47,15,053000,1,34
0041999,47,13,037800,1,35
0041999,47,09,028100,2,40
0041999,47,09,001200,2,18
0041999,47,05,000000,1,15
0041999,47,03,,2,10
0041999,47,02,,1,09
0041999,47,02,,1,06
0042150,37,03,007000,1,66
0042150,37,04,000000,2,62
0042150,37,08,000000,1,34
0042150,37,09,006400,1,32
0042150,37,08,020900,2,24
