serial_no,race,education,income,gender,age
0004979,20,16,060000,1,44
0004979,20,14,050000,2,41
0004979,20,04,,2,12
0004979,20,01,,2,03
0004988,47,11,050000,1,42
0004988,47,12,038000,2,40
0004988,47,02,,1,06
0004988,47,02,,2,10
0005094,47,13,005100,2,40
0005094,47,04,,1,14
0005094,47,03,,1,12
0005094,47,02,,2,08
0005115,47,09,031200,1,35
0005115,47,11,017800,2,31
0005115,47,02,,2,10
0005115,47,02,,1,07
0005115,47,02,,2,04
0005115,47,00,,2,00
0005156,47,05,000000,2,84
0005198,37,10,000000,2,43
0005198,37,02,,1,11
0005206,47,05,000000,1,74
0005303,37,09,000000,1,65
0005303,37,09,032000,2,60
0005304,47,13,050000,2,47
0005304,47,09,003000,2,17
0005420,47,09,077000,1,34
0005420,47,11,077000,2,27
0005420,47,02,,1,05
0005420,47,00,,1,01
0005431,32,11,040000,1,41
0005431,32,09,012000,2,47
0005431,32,04,,1,13
0005675,47,11,000000,1,34
0005689,47,06,000000,1,72
0005756,47,13,000000,1,42
0005756,47,10,022200,2,39
0005756,47,03,,2,12
0005756,47,02,,1,10
0005762,47,09,048000,1,49
0005762,47,09,000000,2,45
0005777,47,09,000000,1,59
0005777,47,09,020000,2,55
0005777,47,09,000360,1,31
0005783,47,11,025000,2,42
0005783,47,04,,2,11
0005784,47,14,025600,1,45
0005801,47,10,065000,1,53
0005801,47,10,022000,2,52
0005807,47,13,000000,1,52
0005820,47,09,005000,1,75
0005820,47,09,000000,2,72
0005823,28,08,035800,1,53
0005823,28,09,002000,2,42
0005823,29,09,005000,2,18
0005823,28,06,000000,1,15
0005823,28,01,000000,2,63
0005823,28,16,000000,1,76
0005830,47,10,043000,1,34
0005830,47,02,,1,10
0005870,47,09,028000,1,28
0005870,47,09,028000,2,30
0005870,47,00,,1,00
0005891,47,11,000000,2,74
0005974,47,09,000000,2,81
0005979,37,09,022000,1,32
0006011,47,11,035000,1,34
0006011,47,12,035000,2,40
0006011,47,02,,2,09
0006011,47,02,,2,05
0006192,47,12,012000,1,67
0006192,47,09,000000,2,71
0006192,47,11,040000,1,38
0006243,47,11,000000,2,71
0006273,47,06,000000,1,71
0006273,47,08,000000,2,73
0006273,47,13,020000,1,45
0006298,47,06,062000,1,53
0006298,47,13,085000,2,40
0006299,47,12,000000,1,42
0006299,47,10,000000,2,48
0006299,47,04,,2,13
0006299,47,03,,2,12
0006317,47,11,005000,2,29
0006317,47,02,,1,05
0006317,47,02,,2,04
0006317,47,02,,1,07
0006317,47,09,000000,1,39
0006342,47,16,060000,1,75
0006350,47,12,029000,1,50
0006350,47,10,000000,2,45
0006386,47,09,000000,1,76
0006394,47,09,014000,2,22
0006394,47,10,015000,1,22
0006394,47,00,,1,01
0006448,47,12,051000,1,33
0006448,47,13,000000,2,30
0006448,47,00,,1,02
0006448,47,00,,2,00
0006470,47,09,036000,1,54
0006470,47,09,000000,2,52
0006518,28,14,120000,1,36
0006518,28,14,000000,2,34
0006518,28,01,,1,03
0006518,28,00,,2,00
0006535,47,09,000000,2,72
0006555,47,14,310000,1,46
0006555,47,14,000000,2,40
0006555,47,04,,2,12
0006555,47,02,,1,09
0006566,47,13,000000,2,60
0006625,47,09,035000,2,62
0006649,47,10,025000,2,50
0006649,47,11,060000,2,52
0006663,47,09,000000,1,67
0006663,47,13,000000,2,65
0006673,47,12,000000,2,68
0006758,47,16,031600,2,32
0006784,47,06,030500,1,54
0006784,47,09,031500,2,48
0006791,47,09,023300,2,62
0006791,47,09,021600,1,43
0006791,47,11,026000,2,29
0006791,47,09,038000,1,31
0006874,47,12,027300,1,25
0006874,47,11,000000,2,21
0006874,47,00,,1,01
0006874,47,01,,1,03
0006995,47,09,000000,2,81
0006995,47,14,052000,1,57
0006995,47,13,088000,2,55
0007038,47,14,100000,1,37
0007038,47,13,000000,2,36
0007038,47,00,,2,02
0007045,47,13,072000,1,40
0007045,47,13,078000,2,42
0007095,47,09,000000,1,70
0007095,47,09,000000,2,71
0007118,47,09,010400,1,24
0007118,47,06,010400,2,17
0007133,47,04,000000,2,87
0007216,47,09,075000,1,42
0007216,47,09,000000,2,40
0007216,47,11,000000,2,19
0007216,47,07,000000,1,17
0007216,47,04,,1,12
0007216,47,02,,1,06
0007224,47,13,042000,2,48
0007286,47,10,061000,1,36
0007286,47,11,029000,2,38
0007286,47,02,,1,09
0007286,47,02,,1,06
0007286,47,00,,1,02
0007342,47,11,019300,2,41
0007342,01,04,000000,2,15
0007342,01,03,,1,13
0007342,01,08,024000,1,40
0007342,01,13,000000,1,68
0007342,01,08,000000,2,22
0007342,01,02,,2,11
0007342,01,00,,1,01
0007354,47,15,040000,1,29
0007354,47,15,038300,2,34
0007374,47,09,001100,2,78
0007390,47,09,000000,2,78
0007391,47,11,048000,1,33
0007391,47,11,015000,2,27
0007391,47,02,,2,07
0007391,47,00,,2,02
0007415,01,10,010000,2,26
0007415,01,00,,1,02
0007435,47,13,010000,1,41
0007435,47,13,030000,2,41
0007435,47,02,,1,06
0007435,47,00,,1,01
0007448,47,12,017100,2,71
0007450,47,14,069000,1,48
0007450,47,14,000000,2,45
0007490,47,10,040000,2,44
0007538,47,11,004000,2,40
0007538,47,09,001000,1,19
0007538,47,06,000000,1,17
0007538,47,02,,1,10
0007579,47,14,047900,1,48
0007579,47,09,000000,2,49
0007601,47,06,005800,1,74
0007626,47,16,060000,2,62
0007639,47,11,000000,2,86
0007669,47,13,140000,1,40
0007669,47,13,000000,2,38
0007669,47,02,,2,06
0007689,47,11,002000,1,26
0007689,47,11,018000,2,23
0007694,47,13,000000,2,89
0007713,47,03,000000,1,70
0007713,47,03,000000,2,77
0007714,47,12,085000,1,50
0007714,47,12,000000,2,41
0007837,37,01,000000,2,48
0007845,47,10,010000,1,69
0007845,47,09,000000,2,72
0007849,47,14,000000,2,76
0007882,47,09,000000,2,84
0007882,47,09,026000,2,37
0007882,47,02,,1,06
0007882,47,12,042000,1,35
0007947,47,13,020000,1,28
0007947,47,13,020000,1,29
0007961,47,10,004000,1,18
0008014,47,13,022000,2,43
0008014,47,14,051000,1,50
0008014,47,04,,2,13
0008014,47,02,,2,10
0008125,47,09,000000,1,52
0008125,47,11,029000,2,51
0008168,47,10,039000,1,55
0008208,47,14,035000,1,36
0008208,47,12,000000,2,27
0008226,47,11,000000,1,68
0008226,47,09,000000,2,74
0008250,47,10,005000,1,18
0008277,47,05,000000,1,77
0008277,47,05,000000,2,75
0008344,47,11,005000,1,22
0008460,47,12,045000,2,40
0008460,47,11,030000,1,44
0008476,47,12,060000,1,40
0008476,47,11,007000,2,40
0008476,47,02,,2,05
0008476,47,01,,2,03
0008500,37,09,000000,2,54
0008531,47,13,000000,1,70
0008531,47,13,000000,2,64
0008555,47,09,000000,2,79
0008597,47,13,055000,1,42
0008597,47,13,000000,2,42
0008597,47,03,,2,14
0008597,47,03,,2,12
0008597,47,02,,2,10
0008597,47,02,,1,08
0008597,47,02,,1,07
0008670,47,11,019000,1,35
0008672,47,14,017900,2,25
0008713,20,14,016300,2,37
0008713,20,14,100000,1,38
0008713,20,03,,2,12
0008713,20,01,000000,2,16
0008741,47,12,000000,1,75
0008741,47,09,000000,2,76
0008880,47,11,022000,1,73
0008880,47,04,000000,2,72
0008886,01,09,000800,2,19
0008899,47,13,012300,2,27
0008899,01,02,,2,10
0008899,01,02,,2,08
0008899,01,01,,2,05
0008903,47,13,148000,1,57
0008903,47,09,000000,2,57
0008989,47,08,042000,1,44
0008989,47,09,045000,2,40
0009008,47,09,031200,1,47
0009008,47,09,016500,2,46
0009008,47,09,003700,1,20
0009008,47,05,005900,1,17
0009010,47,12,050000,1,37
0009010,47,13,008900,2,35
0009010,47,00,,2,00
0009030,47,05,000000,1,62
0009030,47,09,000000,2,58
0009052,47,09,029000,2,55
0009060,15,11,049600,1,46
0009060,20,09,001200,2,40
0009060,26,09,004700,1,19
0009060,26,02,,2,07
0009098,47,13,000000,1,89
0009098,47,08,000000,2,79
0009103,37,14,027600,2,67
0009124,47,13,080000,1,48
0009124,47,13,018000,2,36
0009124,47,03,,2,11
0009124,47,02,,1,09
0009150,47,09,000000,1,67
0009171,47,11,040000,2,30
0009171,47,13,044000,1,29
0009250,47,13,045000,1,33
0009272,47,09,000000,2,80
0009302,47,09,085000,1,57
0009302,47,14,035000,2,51
0009302,47,07,004000,2,18
0009302,47,10,006000,2,19
0009338,47,11,026000,1,42
0009338,47,10,038000,2,39
0009361,47,04,000000,2,77
0009390,47,11,000100,1,46
0009415,47,06,000000,2,82
0009441,47,13,000000,1,81
0009441,47,08,000000,2,72
0009449,47,10,038000,1,33
0009449,47,11,000000,2,35
0009449,47,03,,1,10
0009449,47,02,,1,08
0009457,47,11,019500,2,48
0009457,47,09,075000,1,49
0009528,47,13,050000,1,42
0009528,47,09,006000,1,19
0009584,47,07,000000,2,56
0009584,47,13,000000,1,25
0009668,47,09,000360,1,53
0009668,47,04,019000,2,52
0009668,47,07,001500,1,18
0009692,47,09,000000,1,74
0009692,47,08,000000,2,73
0009721,37,13,310000,2,28
0009721,37,14,310000,1,32
0009721,37,02,,1,09
0009721,37,02,,1,06
0009721,37,01,,1,05
0009801,47,14,080000,1,50
0009801,47,11,003000,2,42
0009805,47,09,000000,1,93
0009816,47,13,060000,2,32
0009816,47,13,082000,1,38
0009816,47,00,,1,00
0009822,47,09,000000,2,82
0009830,47,13,042000,1,36
0009830,47,13,056000,2,33
0009830,47,01,,1,04
0009830,47,00,,1,02
0009845,37,10,025000,2,41
0009845,37,10,020000,1,39
0009845,37,12,000000,2,23
0009845,37,01,,2,10
0009845,37,01,,2,03
0009863,47,14,068000,1,53
0009863,47,13,000000,2,50
0009863,47,08,010400,1,26
0009863,68,10,000220,1,20
0009907,47,09,016400,2,39
0009907,47,04,,2,13
0009907,47,03,,2,11
0009907,47,02,,1,09
0009922,01,08,002200,2,27
0009922,01,00,,1,00
0009955,47,08,034300,1,55
0009955,47,09,055000,2,56
0010044,47,09,041000,1,42
0010044,47,08,000000,2,40
0010044,47,03,,1,12
0010071,47,13,000000,1,48
0010071,47,11,021000,2,47
0010071,47,02,,1,04
0010200,47,10,017500,1,53
0010200,47,14,052000,2,52
0010200,47,09,000650,1,20
0010200,47,11,000000,2,18
0010206,47,13,000000,2,77
0010208,47,12,000000,2,75
0010241,47,11,003000,2,19
0010245,47,07,018000,2,75
0010258,47,09,040000,1,45
0010258,47,11,020000,2,33
0010258,47,02,,2,10
0010258,47,02,,1,07
0010277,47,14,050000,2,42
0010278,47,09,032000,2,60
0010278,47,08,030000,1,29
0010278,47,08,030000,2,50
0010340,47,11,000300,1,34
0010340,47,13,020000,2,35
0010340,47,02,,1,07
0010340,47,02,,1,03
0010398,66,01,000000,1,70
0010440,01,14,030000,1,37
0010440,47,04,,1,14
0010440,48,00,,1,00
0010440,01,10,020000,2,36
0010465,47,13,040000,1,40
0010465,11,13,044000,2,26
0010496,47,07,000000,2,82
0010547,47,13,310000,1,53
0010547,47,09,030000,2,46
0010547,47,11,006000,2,20
0010609,47,12,039000,2,34
0010609,47,13,085000,1,39
0010609,47,02,,1,09
0010609,47,02,,1,06
0010856,47,14,031600,2,49
0010856,47,14,027000,1,55
0010856,66,02,,2,08
0010890,47,10,000000,2,45
0010893,47,12,006600,1,69
0010893,47,09,000000,2,71
0010900,47,14,055000,1,38
0010900,47,11,005000,2,41
0010900,47,02,,2,06
0011032,12,15,030000,1,36
0011032,12,09,000000,2,29
0011033,47,11,082000,1,42
0011033,47,13,027000,2,45
0011033,47,03,,1,11
0011033,47,02,,2,08
0011068,47,04,000000,2,81
0011081,47,13,100000,1,34
0011081,47,13,000000,2,33
0011081,47,00,,2,02
0011081,47,00,,1,01
0011096,47,13,000000,1,78
0011096,47,13,000000,2,79
0011127,37,09,017700,2,46
0011127,37,06,003800,2,16
0011127,37,08,023000,1,21
0011173,48,10,002000,1,18
