serial_no,race,education,income,gender,age
0007490,47,13,073000,1,39
0007490,47,11,000000,2,44
0007490,47,02,,2,08
0007490,47,01,,1,06
0007538,37,09,024000,1,44
0007626,47,09,000900,2,40
0007626,47,02,,2,10
0007626,47,02,,2,08
0007626,47,02,,1,06
0007639,37,03,002000,1,80
0007689,37,09,000000,2,61
0007689,37,06,050000,1,60
0007689,37,11,015900,1,36
0007689,37,02,000000,2,86
0007714,37,04,000000,1,27
0007845,47,09,025000,2,39
0007849,46,10,025000,1,33
0007849,46,11,030000,2,33
0007849,46,07,001000,2,18
0007849,46,04,,2,14
0007849,46,02,,1,10
0007882,37,11,021000,1,28
0007882,37,10,020000,2,26
0007882,37,02,,1,06
0007947,47,09,000000,1,63
0007947,47,09,000000,2,57
0008014,37,09,010000,2,30
0008014,37,09,021000,1,32
0008014,37,00,,2,01
0008208,47,07,005600,1,26
0008208,47,00,,2,00
0008208,47,10,002500,2,20
0008250,47,09,000000,1,74
0008344,47,11,059000,1,51
0008344,47,12,022000,2,45
0008344,47,09,005100,1,20
0008460,47,13,026000,1,48
0008460,47,14,004400,2,50
0008460,47,07,002800,2,17
0008460,47,04,000000,1,15
0008531,47,09,040000,2,44
0008531,47,09,023000,2,20
0008531,47,08,012600,2,18
0008555,47,10,000000,2,54
0008597,37,07,005600,2,25
0008597,37,02,,1,10
0008672,47,09,000000,2,93
0008713,47,14,013000,1,25
0008713,47,16,000000,1,25
0008713,47,13,004100,1,22
0008741,37,13,015500,1,71
0008741,37,11,000000,2,69
0008741,37,08,012000,1,35
0008880,37,12,001400,2,54
0008886,47,11,001200,1,19
0008899,47,13,090000,1,60
0008899,47,12,010900,2,57
0008903,47,08,047000,1,36
0008989,47,09,000000,1,65
0008989,47,09,000000,2,62
0009008,47,11,028000,1,51
0009008,47,14,035000,2,52
0009008,47,11,008700,1,22
0009008,47,08,000000,2,17
0009030,47,11,045900,1,54
0009030,47,09,024000,2,52
0009052,47,13,319000,1,60
0009052,47,13,000000,2,60
0009060,37,08,012000,2,34
0009060,37,09,024000,1,29
0009098,37,09,019500,2,33
0009098,37,04,,1,14
0009098,37,01,,2,03
0009124,47,07,030000,1,37
0009124,01,11,000000,2,29
0009124,47,04,,1,14
0009124,47,02,,2,11
0009124,01,01,,2,03
0009150,47,09,000000,2,75
0009171,37,09,000000,2,62
0009250,37,12,025000,1,57
0009250,37,13,027000,2,52
0009250,37,07,003000,2,18
0009390,47,09,000000,2,61
0009390,47,09,020000,1,56
0009415,37,02,000000,1,44
0009415,37,06,000000,2,55
0009415,37,03,009000,1,34
0009441,37,07,016100,2,88
0009457,47,05,000000,1,44
0009457,47,10,016000,2,37
0009457,47,05,000000,1,16
0009457,47,05,000000,1,16
0009457,47,04,,2,13
0009668,47,09,039500,1,57
0009668,47,10,000000,2,60
0009692,37,11,015900,2,39
0009692,37,07,000600,2,17
0009692,37,03,,2,12
0009721,37,11,028000,1,32
0009721,37,13,021000,2,29
0009721,37,02,,2,09
0009721,37,02,,2,07
0009801,47,09,013400,2,37
0009801,47,04,,1,14
0009801,47,03,,2,12
0009801,47,02,,2,10
0009805,47,13,015800,2,29
0009805,47,11,026000,2,31
0009816,47,09,035000,1,47
0009816,47,09,024000,2,46
0009816,47,09,032000,1,25
0009816,47,09,012000,1,22
0009822,47,13,030000,1,40
0009822,47,13,025700,2,41
0009822,47,03,,2,11
0009822,47,02,,1,10
0009822,47,02,,2,07
0009830,47,13,024000,2,48
0009830,47,11,070000,1,46
0009863,47,03,000000,2,81
0009907,47,09,018200,1,25
0009907,47,09,017000,2,26
0010071,47,09,000000,1,80
0010071,47,09,000000,2,66
0010206,37,11,038000,2,39
0010241,37,05,006000,1,19
0010245,37,01,000000,2,81
0010278,47,11,017900,1,67
0010278,15,11,012000,2,39
0010278,47,01,,2,03
0010340,37,07,043000,1,38
0010340,37,04,020000,2,53
0010340,37,02,,1,05
0010398,47,06,000000,1,79
0010398,47,09,000000,2,68
0010440,47,05,014400,1,34
0010465,47,04,000000,1,71
0010465,47,09,000000,2,70
0010547,37,06,008400,2,20
0010547,37,00,,1,01
0010547,37,08,004800,1,20
0010640,47,09,060000,1,40
0010640,47,09,032000,2,36
0010640,47,04,000000,1,15
0010640,47,03,,2,11
0010856,37,07,011300,2,54
0010890,37,05,000000,1,74
0010890,37,07,004300,2,70
0010900,47,09,023800,1,48
0010900,47,11,011300,2,43
0010900,47,04,000000,1,19
