serial_no,race,education,income,gender,age
0016794,47,07,019500,1,27
0016794,47,01,,1,03
0016794,47,06,006000,2,20
0016795,47,12,023500,1,37
0016935,47,08,000000,2,45
0017009,01,07,005000,1,24
0017009,01,08,000000,2,25
0017009,01,02,,2,06
0017009,01,02,,2,03
0017009,01,00,,1,02
0017010,47,13,070000,1,58
0017010,47,13,016000,2,56
0017022,37,09,000000,2,56
0017022,37,09,000500,1,29
0017022,37,09,000500,2,24
0017022,37,01,000000,1,23
0017022,37,01,,2,09
0017022,37,01,,2,04
0017022,37,00,,1,00
0017022,37,09,000000,1,37
0017063,47,12,018000,2,29
0017063,47,01,,1,03
0017091,37,02,,2,11
0017161,47,08,021000,1,48
0017161,47,02,,2,06
0017161,47,06,000000,2,45
0017169,37,09,000000,2,79
0017220,47,09,006100,1,44
0017220,47,11,008000,2,46
0017290,47,11,000000,1,73
0017734,47,04,000000,1,80
0017734,47,04,000000,2,80
0017792,47,11,042000,1,42
0017825,47,09,000000,2,71
0017944,37,05,000000,1,39
0017951,47,13,000000,2,87
0018125,47,09,000000,1,68
0018125,47,11,000300,2,68
0018132,37,08,000000,2,64
0018223,47,07,000000,2,72
0018223,47,09,000000,2,47
0018288,47,09,013600,2,27
0018288,47,02,,2,10
0018288,47,02,,1,06
0018644,47,11,060000,1,53
0018644,47,11,040000,2,53
0018655,47,12,042000,1,31
0018655,47,12,014000,2,31
0018655,47,03,,1,11
0018655,47,02,,1,06
0018655,47,00,,1,02
0018757,47,06,015000,1,38
0018757,47,06,015000,2,35
0018757,47,06,000000,1,17
0018757,47,01,,1,08
0018757,47,02,,1,07
0018772,47,09,010000,2,20
0018783,37,09,013300,2,38
0018783,37,07,000000,1,17
0018783,37,04,,1,14
0018848,47,15,000000,1,52
0018848,47,14,029000,2,47
0018848,47,03,,2,12
0019021,47,09,010500,2,21
0019021,47,00,,1,02
0019021,47,09,020000,1,20
0019222,47,11,022500,1,52
0019222,47,11,021000,2,50
0019222,47,09,003000,2,27
0019324,47,12,040000,1,44
0019324,47,12,022000,2,41
0019324,47,01,,2,05
0019700,47,11,011600,1,43
0019700,47,10,000000,2,32
0019700,47,03,,2,11
0019700,47,00,,1,02
0020032,37,11,022900,1,49
0020032,37,12,000000,1,23
0020032,37,07,000000,1,18
0020071,47,04,000000,1,59
0020114,10,05,028000,1,29
0020114,10,12,006600,1,21
0020114,10,09,017000,2,49
0020121,47,09,000000,2,85
0020121,47,12,000000,1,47
0020161,47,11,024000,1,46
0020161,47,08,003100,2,44
0020161,47,08,003600,1,18
0020307,47,09,023000,1,36
0020307,47,10,026000,2,34
0020307,47,09,000000,2,61
0020367,47,04,000000,2,93
0020392,47,09,016000,1,30
0020392,47,09,012000,2,30
0020392,47,02,,1,08
0020392,47,01,,1,03
0020555,47,04,000000,1,63
0020555,47,05,000000,2,62
0020602,37,09,000900,1,53
0020602,37,06,000000,2,49
0020602,37,13,014000,1,23
0020602,37,06,000000,2,16
0020602,37,11,009100,2,22
0020746,47,13,065000,1,52
0020746,47,12,028000,2,50
0020746,47,06,000000,2,17
0020746,47,04,,1,13
0020933,37,01,000000,2,23
0020933,37,00,,1,02
0020961,47,09,007100,2,31
0020961,47,02,,1,07
0020961,47,00,,2,01
0021000,47,09,000000,1,31
0021000,47,09,000000,2,32
0021000,47,02,,2,09
0021000,47,01,,1,03
0021070,37,06,001000,2,32
0021070,37,03,,1,14
0021070,37,01,,1,09
0021070,37,01,,2,06
0021107,47,05,000000,1,74
0021107,47,09,000000,2,73
0021123,37,09,002200,2,30
0021123,37,01,,1,07
0021123,37,01,,2,05
0021123,37,09,025300,1,31
0021161,47,09,061000,2,67
0021161,47,09,000000,1,38
0021273,47,13,029000,1,29
0021273,47,14,022200,2,32
0021273,47,00,,2,00
0021321,47,13,039100,2,23
0021321,47,14,026000,1,24
0021444,47,07,030000,1,41
0021444,47,09,018000,2,39
0021444,47,10,010000,1,19
0021444,47,07,000750,1,17
0021530,66,10,021500,1,39
0021530,66,05,000000,1,15
0021594,47,09,010000,2,49
0021594,47,04,001600,1,50
0021757,47,09,022000,2,53
0021757,47,06,000000,1,29
0021791,47,09,032000,1,36
0021791,47,09,018000,2,30
0021791,47,02,,1,07
0021791,47,01,,1,04
0021791,47,01,,1,04
0021840,47,09,021500,1,36
0021840,47,11,016300,2,35
0021840,47,02,,1,12
0021840,47,02,,2,10
0021840,47,02,,1,08
0021851,37,14,049800,2,42
0021851,37,06,005000,2,21
0021851,37,12,014500,2,24
0022103,37,08,002200,2,43
0022103,37,09,000000,1,43
0022103,37,05,000000,1,16
0022296,47,04,025000,1,27
0022296,47,09,000000,2,28
0022766,47,11,026000,1,49
0022766,47,06,000000,2,50
0022766,47,07,000000,2,17
0022935,47,11,000000,1,67
0022935,47,12,049500,2,59
0022938,47,09,040000,1,58
0022938,47,09,000000,2,57
0023227,37,12,016000,1,44
0023227,37,15,000000,2,42
0023577,47,11,025000,1,39
0023577,47,05,025000,2,32
0023691,47,04,002500,1,79
0023691,47,05,000000,2,69
0023712,37,09,000000,2,59
0023712,37,03,,2,10
0023712,37,08,000000,2,55
0023728,37,12,000000,1,71
0023735,37,11,007000,1,23
0023735,37,02,,2,04
0023735,37,00,,2,02
0023735,37,10,014500,2,22
0023822,47,09,040000,1,61
0023822,47,09,020800,2,59
0023887,47,04,013500,2,27
0023887,47,11,047000,1,25
0023887,47,01,,2,05
0023887,47,01,,2,03
0023887,47,00,,1,01
0024007,47,08,022000,1,44
0024007,47,08,018000,2,44
0024007,47,10,016000,2,19
0024101,47,09,000000,1,46
0024101,47,13,028400,2,40
0024101,47,02,,1,10
0024247,37,09,030000,1,24
0024247,37,02,,1,08
0024247,37,02,,1,03
0024247,37,10,012000,2,25
0024295,47,09,000000,2,58
0024313,47,13,000000,1,69
0024313,47,12,000000,2,65
0024346,47,09,004400,2,74
0024368,37,12,032000,2,42
0024368,37,08,000000,1,44
0024368,37,03,,2,13
0024368,37,03,,1,13
0024380,47,04,000000,2,68
0024380,47,09,000000,2,70
0024500,37,09,028000,1,51
0024500,37,09,000000,2,44
0024500,37,04,,1,14
0024633,47,13,029000,2,58
0024783,47,03,013900,1,55
0024825,47,09,030100,1,30
0025009,47,11,003200,2,50
0025146,47,09,052000,1,49
0025160,37,10,000000,2,19
